Data,Valor,Descrição
2025-04-24,-9.99,SEGURO SUPERPROTEGIDO
2025-04-22,-9.25,UBER* TRIP
2025-04-22,-22.58,UBER* TRIP
2025-04-21,-12.0,MP*78EVENTOS
2025-04-19,-53.4,DB S A JARAGUA DO SUL 1/10
2025-04-19,-53.51,307 JARAGUA DO SUL 1/4
2025-04-19,-21.33,UBER * PENDING
2025-04-19,-34.12,UBER* TRIP
2025-04-15,-22.9,UBER* TRIP
2025-04-12,-9.75,MERCADO NILMAR
2025-04-11,-59.99,PAYPAL      *MICROSOFT
2025-04-09,-22.4,UBER* TRIP
2025-04-08,-4535.72,SALDO ANTERIOR
2025-04-08,4535.72,PAGTO. POR DEB EM C/C
2025-04-08,-12.85,UBER* TRIP
2025-04-07,-8.3,RodrigoKrug
2025-04-01,-21.06,UBER* TRIP
2025-04-01,-12.45,UBER * PENDING
2025-01-21,-173.65,PensaNoEvento 4/4
2025-01-18,-69.99,CARIOCA CALCADOS LTDA 4/5
2025-01-18,-69.99,CARIOCA CALCADOS LTDA 5/5
2025-01-06,-147.86,KNN BRASIL LTDA 4/4
2025-09-02,-385.14,PARC=110 ELECTROLUX 8/10
2025-09-02,-385.14,PARC=110 ELECTROLUX 9/10
2025-09-02,-385.14,PARC=110 ELECTROLUX 10/10
2025-08-13,-282.52,ANGELONI ELETRO 9/18
